inventory_id,aisle_number,expiry_date,manufactured_date,quantity,row_number,sku,product_id,store_id
1,D,11/1/2019,11/8/2018,12,9,1CueujjT2KEuiqoNzfYtV4n7qaa4jPDKZ1,84,26
2,H,9/26/2019,10/15/2018,60,9,1DA1tuVuVazcejnqeaU4Xgh4gBuLVC7xmY,779,61
3,G,10/29/2019,4/11/2019,17,7,1J2Q7dB4fDUhUhX3hVbhpswgvBQcVvpvMJ,432,85
4,M,10/31/2019,2/26/2019,26,7,17xfVYgzabcJUjC4a7v4cPXP7cZh3KbX3N,745,24
5,I,9/5/2019,9/9/2018,74,6,17ovynHTqi4cCctxKcpUTDUhLRQTi1CLP6,287,97
6,H,6/23/2019,11/23/2018,91,4,1Pmr1UyYePzcca1cJHYtxSCTeZLCnqo6Js,9,6
7,H,8/15/2019,2/20/2019,11,3,1uQ1hca9ezSCH7oXRhCLk8KMbaumoY6FG,14,88
8,J,6/24/2019,9/5/2018,46,8,1JCzFT1T1Ty4S6uX4ocKx4nxHx5akgvcD5,174,93
9,D,9/20/2019,12/30/2018,87,2,1FPwtXkZjJLyQGKr94b5Gj198Eue7eWGvU,7,32
10,D,7/13/2019,8/20/2018,87,1,1H8hx1t1coe6XXEHzeDKApWwp2KQm3VRYx,503,27
11,D,7/21/2019,5/2/2018,96,9,12pXZr5GBpX8NJi2eVq3KDvsKUk3etQTaC,371,84
12,K,7/2/2019,11/10/2018,49,1,1GuvV3KUQf24HC2VnMHPnv6ezdMGKxSNZb,303,85
13,E,9/21/2019,9/16/2018,39,4,1EKeT1PnMGgw5NQFpRVPzmRvCx1ev43PGY,406,21
14,G,11/21/2019,1/20/2019,34,10,1MhuGR7rcBCUGZKBMtXmT3LHSSPVAKKYaq,630,54
15,O,9/8/2019,4/24/2019,93,8,1CvwesJyQD6pNAfrvWh2GfEzoWyjNTQ4M,826,65
16,F,9/2/2019,4/8/2019,93,1,1LNj73CbcwA27zsFphvEM7GKuktkLtzaS3,212,40
17,A,6/21/2019,5/7/2018,3,3,1dzo724iCvyhnVQvWdtC3gZBpQFKiGD4N,566,8
18,A,10/14/2019,3/26/2019,88,8,14bAhE3FkTKwhhXS78jb3HkZpJGPzttXkw,39,18
19,C,6/24/2019,2/10/2019,57,8,1GqrrMEJwX1pejFPkLNQTYDzAWgoiibuJq,907,80
20,E,11/4/2019,7/16/2018,97,8,18iRiw3cAzyZdEf5pyQjrpjUtkyHbrqQaF,778,84
21,I,10/13/2019,3/9/2019,100,9,163VuaFrm3CV4of28EgBxv3G55HZx6JP49,939,66
22,B,6/3/2019,12/25/2018,90,4,1HMrTpcSQzrn18935VsFsBFzqENffUNZ9v,248,21
23,B,7/24/2019,12/8/2018,23,8,1Khyg16FFuW8Mb295RQpRKnfyifUZsTtZq,374,52
24,E,10/6/2019,10/14/2018,96,2,1PqbKpVbUmj9g3wTbibJHsFzoEMt5FCLuW,740,59
25,M,7/13/2019,7/3/2018,22,8,1NLAsQZJvQkBXxPpb5y9nQpbR6ENDkpkcE,731,55
26,D,9/25/2019,9/15/2018,68,7,1BXwA59AQZfzcwAevk5YVjqv4mA1aebPgP,714,59
27,A,9/28/2019,3/29/2019,46,3,1HphvznDtUo6dXPmw8odsgTuJPExXa3DAm,786,4
28,O,9/29/2019,2/24/2019,44,1,18gp5q368v56BeqVT1pV1f4RtSRhBSaF6p,691,83
29,I,6/10/2019,6/18/2018,63,8,1Eozrxk5HSb17pSVSUHnTsFdAVhpyEo7vt,110,9
30,M,7/5/2019,7/27/2018,43,1,1F6Dgz9z1QC4oXZfERbZtPBgr6piF9JKmk,103,6
31,K,8/25/2019,6/26/2018,46,3,1BakcxArLwuSnA8t6FVUZreJWpyo7P16cC,518,43
32,D,8/23/2019,12/8/2018,43,6,1EeMmhbhzouA2WVvZjj46LChdthj6dmZ6n,272,70
33,G,8/18/2019,2/10/2019,23,3,18Mbk6EEhYFYB9RjLjQSBhWkdNGu8XXfY7,378,50
34,G,7/5/2019,4/21/2019,37,8,1HMBxiwEsmLvRfQ7Y91SGMpg4Xk3hvJ47q,728,6
35,J,9/11/2019,8/20/2018,3,9,1F3mtCuW8Ym5Y7y7WQPeLnMsDfqw8FP9Fs,924,85
36,F,6/11/2019,7/16/2018,58,10,1PZwE7156roFoFXeoQ4EHiu8ReTia9fmLu,643,82
37,P,10/12/2019,3/16/2019,25,2,198xSvZEgjZ8jhS54NM9twrCyVC8jKAB8t,445,58
38,L,7/2/2019,9/4/2018,64,5,1K8uQ3XMnDaA2nrLzjcnv2phoVyUDi8HEF,267,70
39,L,8/28/2019,9/20/2018,55,1,13kaw3nSpikUPMZtFPRLstS8P52CRb3TXa,644,86
40,I,10/4/2019,10/18/2018,21,6,1646zhtDS837bEzuQFuwT5PF86fBnzCw4U,550,10
41,M,10/28/2019,9/30/2018,18,4,1GkkTYh372HUS3CTDLd3FuBCnivMTfCxri,753,17
42,F,7/22/2019,7/2/2018,56,9,1ASax8XwtEfSfZGbirpSn48ehbiBcF4zQR,596,40
43,K,6/2/2019,1/14/2019,100,7,1AvSoovgcv432Zj4e8YoLx2pFYh7RxeXX8,282,20
44,A,11/13/2019,2/8/2019,65,1,18RjGu8aKEuJTXCyfMgekVD9dP1EgmL6FD,621,14
45,P,8/15/2019,11/10/2018,45,7,1CtkfGHDwDC2UbWtHn59LXF426DtUKeqXb,247,99
46,K,9/30/2019,2/24/2019,28,5,1Fow6SzWsmGWvTRyBGhiTSiVhuhjNHUx4B,730,5
47,P,6/26/2019,9/26/2018,95,3,1ATSWQkMUxLhRPu8mVdtmCwb2mQ7N4wjrY,272,100
48,B,9/18/2019,3/20/2019,92,9,1HuTD3a8TKKWSCx73pvoxnUBbyp48GEta1,358,46
