inventory_price_id,offer_description,offer_percent,offer_quantity,offers,unit_price,order_id,inventory_id,offer_expiry_date
1,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,21.84,,Yes,46.91,1,1,5/3/2019
2,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,73.23,,No,43.54,2,2,10/18/2019
3,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,52.48,,No,52.24,3,3,12/12/2019
4,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,7.23,,Yes,68.91,4,4,7/7/2019
5,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,5.64,,No,52.36,5,5,8/1/2019
6,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,23.42,,No,40.45,6,6,11/10/2019
7,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,13.29,,No,60.96,7,7,8/16/2019
8,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,64.69,,Yes,54.89,8,8,9/8/2019
9,est et tempus semper est quam pharetra magna ac consequat metus,4.72,,Yes,50.78,9,9,11/27/2019
10,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,45.44,,Yes,59.6,10,10,9/24/2019
11,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,35.91,,No,50.02,11,11,8/6/2019
12,id luctus nec molestie sed justo pellentesque viverra pede ac,69.49,,No,39.78,12,12,8/23/2019
13,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,71.09,,No,61.58,13,13,10/31/2019
14,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,60.15,,Yes,63.84,14,14,9/14/2019
15,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,53.89,,Yes,52.71,15,15,8/30/2019
16,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,34.7,,Yes,51.7,16,16,7/11/2019
17,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,0.83,,No,50.4,17,17,9/21/2019
18,volutpat dui maecenas tristique est et tempus semper est quam pharetra,1.57,,Yes,20.61,18,18,12/20/2019
19,tellus nulla ut erat id mauris vulputate elementum nullam varius,6.11,,No,43.72,19,19,10/20/2019
20,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,24.91,,No,35.32,20,20,10/21/2019
21,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,16.81,,Yes,44.8,21,21,12/11/2019
22,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,3.06,,No,56.99,22,22,10/18/2019
23,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,5.82,,No,44.38,23,23,5/7/2019
24,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,22.4,,No,45.92,24,24,8/30/2019
25,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,15.82,,No,47.37,25,25,8/2/2019
26,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,53.58,,Yes,52.68,26,26,10/8/2019
