  invoice_detail_id,mode,product_total,quantity,unit_selling_price,order_id,product_id
1,BioPay,25,7,,,
2,Internet Banking,79,9,,,
3,BioPay,31,4,,,
4,BioPay,76,2,,,
5,Internet Banking,18,7,,,
6,Mobile wallet,92,10,,,
7,BioPay,20,3,,,
8,VIPPS,39,9,,,
9,VIPPS,9,1,,,
10,VIPPS,60,10,,,
11,VIPPS,18,1,,,
12,Mobile wallet,88,1,,,
13,BioPay,77,10,,,
14,VIPPS,52,5,,,
15,BioPay,37,5,,,
16,Internet Banking,40,10,,,
17,BioPay,21,10,,,
18,Mobile wallet,100,1,,,
19,Internet Banking,80,6,,,
20,Mobile wallet,12,10,,,
21,BioPay,61,4,,,
22,Internet Banking,67,7,,,
23,Mobile wallet,92,7,,,
24,VIPPS,78,10,,,
25,BioPay,4,7,,,
26,BioPay,25,7,,,
27,VIPPS,85,6,,,
28,BioPay,44,6,,,
29,BioPay,51,7,,,
30,VIPPS,88,10,,,
31,Internet Banking,63,6,,,
32,Internet Banking,21,4,,,
33,Mobile wallet,77,2,,,
34,Mobile wallet,100,10,,,
35,Internet Banking,34,6,,,
36,BioPay,25,8,,,
37,Internet Banking,1,7,,,
38,Internet Banking,27,8,,,
39,VIPPS,62,6,,,
40,VIPPS,88,5,,,
41,VIPPS,81,7,,,
42,BioPay,79,1,,,
43,Mobile wallet,37,10,,,
44,Mobile wallet,2,1,,,
45,Mobile wallet,16,7,,,
46,Mobile wallet,44,10,,,
47,BioPay,97,9,,,
48,Mobile wallet,85,3,,,
49,BioPay,27,4,,,
50,Mobile wallet,60,5,,,
51,Internet Banking,56,3,,,
52,Internet Banking,49,4,,,
53,Mobile wallet,95,4,,,
54,VIPPS,68,4,,,
55,BioPay,55,6,,,
56,Mobile wallet,54,9,,,
57,Internet Banking,45,4,,,
58,Internet Banking,4,4,,,
59,Mobile wallet,47,3,,,
60,BioPay,37,7,,,
61,Mobile wallet,90,5,,,
62,Internet Banking,19,6,,,
63,Internet Banking,9,10,,,
64,Mobile wallet,92,4,,,
65,VIPPS,15,9,,,
66,Mobile wallet,7,5,,,
67,Mobile wallet,88,1,,,
68,BioPay,86,6,,,
69,Internet Banking,82,10,,,
70,Mobile wallet,1,7,,,
71,Mobile wallet,27,3,,,
72,VIPPS,91,7,,,
73,VIPPS,76,3,,,
74,Internet Banking,92,10,,,
75,VIPPS,24,10,,,
76,VIPPS,27,9,,,
77,BioPay,28,7,,,
78,Internet Banking,70,5,,,
79,VIPPS,5,10,,,
80,BioPay,42,1,,,
81,VIPPS,53,8,,,
82,VIPPS,32,10,,,
83,Internet Banking,56,10,,,
84,Mobile wallet,52,3,,,
85,Mobile wallet,67,8,,,
86,VIPPS,6,10,,,
87,Internet Banking,50,8,,,
88,VIPPS,23,1,,,
89,VIPPS,95,9,,,
90,Mobile wallet,54,4,,,
91,VIPPS,25,2,,,
92,Internet Banking,79,10,,,
93,VIPPS,56,4,,,
94,VIPPS,50,8,,,
95,VIPPS,16,10,,,
96,VIPPS,89,8,,,
97,VIPPS,89,2,,,
98,BioPay,49,7,,,
99,BioPay,97,5,,,
100,VIPPS,58,4,,,
101,VIPPS,90,1,,,
102,VIPPS,78,10,,,
103,Internet Banking,74,5,,,
104,VIPPS,97,1,,,
105,Mobile wallet,80,5,,,
106,BioPay,66,2,,,
107,VIPPS,12,6,,,
108,Mobile wallet,58,6,,,
109,Internet Banking,4,4,,,
110,Internet Banking,86,1,,,
111,VIPPS,49,5,,,
112,Internet Banking,49,9,,,
113,Mobile wallet,38,10,,,
114,Mobile wallet,94,10,,,
115,Mobile wallet,17,8,,,
116,Internet Banking,87,2,,,
117,Internet Banking,54,9,,,
118,VIPPS,47,5,,,
119,Mobile wallet,50,5,,,
120,VIPPS,63,9,,,
121,Internet Banking,82,2,,,
122,Mobile wallet,93,5,,,
123,VIPPS,13,8,,,
124,BioPay,63,2,,,
125,VIPPS,27,7,,,
126,Mobile wallet,31,6,,,
127,VIPPS,50,7,,,
128,Mobile wallet,33,1,,,
129,VIPPS,21,8,,,
130,Internet Banking,6,4,,,
131,Mobile wallet,35,3,,,
132,Mobile wallet,96,5,,,
133,Internet Banking,94,7,,,
134,Internet Banking,46,6,,,
135,Internet Banking,91,4,,,
136,VIPPS,41,9,,,
137,BioPay,65,6,,,
138,BioPay,21,2,,,
139,Internet Banking,70,2,,,
140,Internet Banking,3,5,,,
141,Internet Banking,94,8,,,
142,Internet Banking,58,6,,,
143,Internet Banking,65,5,,,
144,BioPay,83,10,,,
145,Mobile wallet,10,6,,,
146,Internet Banking,99,8,,,
147,VIPPS,93,6,,,
148,Mobile wallet,78,2,,,
149,VIPPS,21,2,,,
150,Mobile wallet,93,6,,,
151,Mobile wallet,52,8,,,
152,Mobile wallet,36,5,,,
153,Internet Banking,57,10,,,
154,BioPay,20,5,,,
155,Internet Banking,21,9,,,
156,Mobile wallet,32,5,,,
157,VIPPS,20,7,,,
158,Internet Banking,6,6,,,
159,Mobile wallet,20,5,,,
160,VIPPS,57,1,,,
161,Mobile wallet,68,7,,,
162,VIPPS,89,8,,,
163,BioPay,9,8,,,
164,VIPPS,24,9,,,
165,Internet Banking,19,1,,,
166,Internet Banking,63,10,,,
167,Mobile wallet,19,1,,,
168,BioPay,78,1,,,
169,BioPay,25,1,,,
170,Mobile wallet,12,7,,,
171,Internet Banking,43,8,,,
172,VIPPS,21,8,,,
173,VIPPS,83,4,,,
174,VIPPS,63,4,,,
175,Internet Banking,67,3,,,
176,VIPPS,44,8,,,
177,Internet Banking,56,3,,,
178,BioPay,56,10,,,
179,BioPay,32,10,,,
180,Mobile wallet,13,6,,,
181,VIPPS,25,4,,,
182,BioPay,66,2,,,
183,BioPay,82,5,,,
184,Internet Banking,6,5,,,
185,BioPay,74,5,,,
186,BioPay,85,4,,,
187,Internet Banking,14,3,,,
188,BioPay,7,3,,,
189,VIPPS,15,4,,,
190,Mobile wallet,50,2,,,
191,Internet Banking,83,8,,,
192,Internet Banking,85,4,,,
193,BioPay,46,9,,,
194,Mobile wallet,98,4,,,
195,VIPPS,70,1,,,
196,Internet Banking,66,4,,,
197,Mobile wallet,54,2,,,
198,Mobile wallet,3,7,,,
199,BioPay,31,2,,,
200,Mobile wallet,66,6,,,
201,VIPPS,70,6,,,
202,Internet Banking,53,6,,,
203,VIPPS,96,3,,,
204,Internet Banking,14,1,,,
205,VIPPS,74,6,,,
206,BioPay,52,2,,,
207,VIPPS,19,2,,,
208,Mobile wallet,92,8,,,
209,Internet Banking,38,9,,,
210,BioPay,25,2,,,
211,Internet Banking,38,1,,,
212,BioPay,84,8,,,
213,Internet Banking,79,8,,,
214,Mobile wallet,65,10,,,
215,Mobile wallet,82,2,,,
216,Mobile wallet,12,1,,,
217,BioPay,85,10,,,
218,VIPPS,88,4,,,
219,Mobile wallet,59,1,,,
220,Mobile wallet,86,9,,,
221,VIPPS,96,3,,,
222,VIPPS,26,5,,,
223,Mobile wallet,100,2,,,
224,VIPPS,54,7,,,
225,Mobile wallet,31,9,,,
226,Mobile wallet,94,2,,,
227,Mobile wallet,99,1,,,
228,BioPay,85,10,,,
229,VIPPS,35,2,,,
230,VIPPS,5,10,,,
231,BioPay,100,7,,,
232,Internet Banking,98,5,,,
233,BioPay,28,6,,,
234,Internet Banking,61,6,,,
235,Mobile wallet,82,6,,,
236,VIPPS,80,4,,,
237,BioPay,31,1,,,
238,BioPay,93,7,,,
239,Internet Banking,88,1,,,
240,VIPPS,90,1,,,
241,Mobile wallet,23,2,,,
242,VIPPS,14,5,,,
243,Mobile wallet,24,7,,,
244,Internet Banking,80,10,,,
245,Mobile wallet,18,4,,,
246,Mobile wallet,59,6,,,
247,Internet Banking,1,8,,,
248,Internet Banking,74,7,,,
249,BioPay,48,2,,,
250,VIPPS,62,8,,,
251,Internet Banking,50,4,,,
252,BioPay,43,8,,,
253,BioPay,99,6,,,
254,VIPPS,100,4,,,
255,VIPPS,55,7,,,
256,Internet Banking,93,7,,,
257,Internet Banking,43,7,,,
258,BioPay,66,5,,,
259,VIPPS,66,9,,,
260,Internet Banking,9,10,,,
261,VIPPS,22,9,,,
262,Internet Banking,34,8,,,
263,Internet Banking,91,7,,,
264,Internet Banking,40,5,,,
265,BioPay,32,2,,,
266,Internet Banking,33,1,,,
267,VIPPS,40,5,,,
268,Internet Banking,63,2,,,
269,Internet Banking,29,4,,,
270,BioPay,38,2,,,
271,Mobile wallet,90,8,,,
272,VIPPS,82,5,,,
273,Internet Banking,47,1,,,
274,Internet Banking,91,2,,,
275,Internet Banking,53,8,,,
276,VIPPS,3,6,,,
277,Internet Banking,7,8,,,
278,Internet Banking,75,10,,,
279,BioPay,23,3,,,
280,Internet Banking,59,5,,,
281,BioPay,58,1,,,
282,Internet Banking,1,6,,,
283,VIPPS,71,10,,,
284,Internet Banking,29,1,,,
285,Internet Banking,70,1,,,
286,BioPay,97,8,,,
287,Internet Banking,85,5,,,
288,BioPay,95,2,,,
289,BioPay,14,8,,,
290,VIPPS,18,9,,,
291,Mobile wallet,64,6,,,
292,BioPay,44,4,,,
293,BioPay,42,10,,,
294,Mobile wallet,9,9,,,
295,Internet Banking,96,7,,,
296,BioPay,73,10,,,
297,BioPay,1,1,,,
298,VIPPS,29,9,,,
299,VIPPS,58,10,,,
300,BioPay,1,2,,,
301,Internet Banking,69,4,,,
302,Internet Banking,30,5,,,
303,Internet Banking,4,7,,,
304,Internet Banking,4,3,,,
305,BioPay,8,9,,,
306,BioPay,44,1,,,
307,Mobile wallet,83,1,,,
308,Internet Banking,92,4,,,
309,Internet Banking,84,5,,,
310,BioPay,8,5,,,
311,Internet Banking,40,4,,,
312,VIPPS,99,4,,,
313,VIPPS,42,7,,,
314,VIPPS,89,2,,,
315,BioPay,19,1,,,
316,VIPPS,95,7,,,
317,BioPay,76,5,,,
318,Internet Banking,100,2,,,
319,Internet Banking,71,10,,,
320,Mobile wallet,9,9,,,
321,Internet Banking,53,6,,,
322,BioPay,49,10,,,
323,BioPay,83,7,,,
324,Internet Banking,24,3,,,
325,Mobile wallet,52,3,,,
326,VIPPS,3,4,,,
327,BioPay,18,2,,,
328,BioPay,28,5,,,
329,Internet Banking,25,9,,,
330,BioPay,67,8,,,
331,Internet Banking,95,9,,,
332,VIPPS,25,6,,,
333,VIPPS,48,5,,,
334,Mobile wallet,98,1,,,
335,BioPay,4,5,,,
336,BioPay,1,10,,,
337,VIPPS,83,2,,,
338,Internet Banking,26,10,,,
339,Mobile wallet,62,3,,,
340,Mobile wallet,88,2,,,
341,Mobile wallet,24,3,,,
342,BioPay,59,1,,,
343,Mobile wallet,74,3,,,
344,VIPPS,35,3,,,
345,Mobile wallet,7,10,,,
346,BioPay,25,6,,,
347,VIPPS,65,10,,,
348,Internet Banking,1,5,,,
349,BioPay,55,5,,,
350,VIPPS,62,5,,,
351,Mobile wallet,56,6,,,
352,Mobile wallet,62,4,,,
353,Internet Banking,61,2,,,
354,Internet Banking,63,10,,,
355,Mobile wallet,38,9,,,
356,Internet Banking,86,7,,,
357,Internet Banking,62,3,,,
358,Mobile wallet,26,8,,,
359,BioPay,27,2,,,
360,BioPay,78,2,,,
