order_id,customer_id,date_of_sale,mode,total,  transaction_id,store_id,time_of_sale
1,,2/8/2019,,,95,,6:00 AM
2,,2/2/2019,,,7,,6:39 PM
3,,5/18/2018,,,9,,6:07 AM
4,,12/18/2018,,,3,,12:02 AM
5,,10/26/2018,,,30,,10:11 AM
6,,1/22/2019,,,65,,10:15 PM
7,,5/6/2018,,,471,,5:04 AM
8,,5/29/2018,,,9,,5:01 PM
9,,9/26/2018,,,89,,10:43 PM
10,,2/7/2019,,,25978,,1:51 PM
11,,9/17/2018,,,576,,11:51 PM
12,,9/22/2018,,,5693,,3:23 AM
13,,4/20/2019,,,8,,4:02 PM
14,,12/5/2018,,,56419,,5:05 PM
15,,7/26/2018,,,96867,,9:55 PM
16,,9/27/2018,,,9,,9:17 PM
17,,11/13/2018,,,9,,8:46 PM
18,,5/9/2018,,,60,,7:21 AM
19,,7/7/2018,,,0745,,12:55 PM
20,,12/14/2018,,,50176,,1:59 AM
21,,9/14/2018,,,6,,3:04 AM
22,,1/28/2019,,,095,,2:52 PM
23,,1/13/2019,,,963,,4:03 AM
24,,6/11/2018,,,7,,11:33 AM
25,,12/13/2018,,,89,,11:55 PM
26,,1/8/2019,,,76154,,6:06 PM
27,,8/2/2018,,,31,,7:17 PM
28,,3/24/2019,,,13,,12:07 AM
29,,4/26/2019,,,27,,2:31 PM
30,,10/2/2018,,,7,,8:48 AM
31,,11/30/2018,,,2264,,8:37 AM
32,,12/17/2018,,,3,,2:34 PM
33,,1/24/2019,,,56390,,2:37 PM
34,,10/26/2018,,,01,,3:48 PM
35,,2/3/2019,,,93983,,5:58 PM
36,,11/3/2018,,,274,,5:52 PM
37,,12/12/2018,,,1090,,9:56 AM
38,,1/28/2019,,,70,,4:42 PM
39,,5/18/2018,,,3,,10:15 AM
40,,11/17/2018,,,23,,3:01 PM
41,,12/8/2018,,,491,,10:31 PM
42,,7/8/2018,,,712,,3:21 AM
43,,7/25/2018,,,61,,7:16 AM
44,,2/3/2019,,,04,,3:59 AM
45,,2/13/2019,,,126,,8:57 AM
46,,5/20/2018,,,657,,10:29 AM
47,,7/6/2018,,,88410,,2:25 AM
48,,3/19/2019,,,88,,11:56 AM
49,,10/19/2018,,,867,,12:23 AM
50,,4/5/2019,,,5,,10:37 PM
51,,3/13/2019,,,364,,12:50 PM
52,,4/12/2019,,,2,,7:42 PM
53,,2/23/2019,,,12541,,3:18 PM
54,,12/5/2018,,,94,,1:14 PM
55,,4/14/2019,,,95,,10:37 AM
56,,3/2/2019,,,71,,4:46 AM
57,,5/2/2018,,,44,,10:27 AM
58,,2/22/2019,,,8056,,5:27 PM
59,,12/11/2018,,,2,,6:22 AM
60,,12/28/2018,,,778,,5:38 PM
61,,4/1/2019,,,3330,,9:12 PM
62,,7/25/2018,,,29,,6:06 PM
63,,10/10/2018,,,5,,2:36 PM
64,,11/19/2018,,,1,,7:02 AM
65,,6/26/2018,,,30364,,1:19 AM
66,,12/24/2018,,,920,,12:03 PM
