upc,description,dimensions,image_url,mrp,product_name,unit,category
31-793-6964,Plasticforkblack,XS,http://dummyimage.com/108x250.jpg/ff4444/ffffff,32,Twitterwire,gms,
08-990-3364,"Pail - 4l White, With Handle",3XL,http://dummyimage.com/187x199.png/dddddd/000000,53,Zooveo,kgs,
86-309-8921,Cilantro / Coriander - Fresh,M,http://dummyimage.com/249x158.bmp/cc0000/ffffff,13,Flashspan,kgs,
61-894-0272,Sole - Fillet,3XL,http://dummyimage.com/116x140.png/ff4444/ffffff,10,Meembee,gms,
34-340-7789,"Beans - Long, Chinese",S,http://dummyimage.com/145x113.jpg/5fa2dd/ffffff,51,Realmix,gms,
14-454-1838,"Soda Water - Club Soda, 355 Ml",XL,http://dummyimage.com/126x110.jpg/cc0000/ffffff,90,Skinte,kgs,
47-654-1304,"Wine - White, Pinot Grigio",2XL,http://dummyimage.com/134x221.bmp/5fa2dd/ffffff,81,Youtags,kgs,
11-290-0813,Peas - Frozen,XL,http://dummyimage.com/140x175.png/ff4444/ffffff,94,Pixope,ltr,
65-970-6583,Milk - Homo,L,http://dummyimage.com/116x142.jpg/ff4444/ffffff,55,Avaveo,count,
87-658-3291,Water - Green Tea Refresher,M,http://dummyimage.com/117x138.bmp/dddddd/000000,33,Babbleopia,gms,
53-326-3614,Tequila Rose Cream Liquor,L,http://dummyimage.com/193x248.png/5fa2dd/ffffff,66,Oozz,count,
13-010-0602,Chocolate - Sugar Free Semi Choc,S,http://dummyimage.com/154x184.bmp/5fa2dd/ffffff,78,Yodo,kgs,
72-120-2802,Sugar - Monocystal / Rock,S,http://dummyimage.com/164x123.bmp/cc0000/ffffff,4,Twinte,count,
60-059-0966,"Juice - Apple, 500 Ml",XL,http://dummyimage.com/147x101.png/ff4444/ffffff,92,Avamba,count,
52-558-4648,Lamb - Sausage Casings,L,http://dummyimage.com/116x166.png/cc0000/ffffff,4,Janyx,kgs,
87-140-8370,Chips - Doritos,S,http://dummyimage.com/118x194.png/5fa2dd/ffffff,1,Fanoodle,gms,
86-524-6027,Nantucket - Kiwi Berry Cktl.,2XL,http://dummyimage.com/128x158.bmp/cc0000/ffffff,75,Gabtype,kgs,
51-285-0438,"Wine - Red, Cabernet Sauvignon",XS,http://dummyimage.com/179x115.bmp/dddddd/000000,90,Tekfly,gms,
