product_id,sku,product_name,price,barcode,product_description,product_dimension,producer,merchant_id,image_url,discount
100001,0285b967-261a-4a95-a21c-5c797ac7c0a2,Tea - Camomele,71.127,V8822,Distinctio eos debitis.,L,McLaughlin-Bosco,100079,https://placeholdit.imgix.net/~text?txtsize=55&txt=454x853&w=454&h=853,0
100002,0d9803c2-d16d-4f38-826c-f9869f619166,Eggroll,94.899,99689,Unde totam et sint excepturi labore eaque.,S,"Weber, Cremin and Hermiston",100003,https://placeholdit.imgix.net/~text?txtsize=55&txt=444x979&w=444&h=979,18
100003,049d0c34-238c-47b0-ab49-154a37fbd163,"Lid - High Heat, Super Clear",89.271,E8013,Laborum aliquam similique natus ipsam.,M,Gislason LLC,100174,https://placeholdit.imgix.net/~text?txtsize=55&txt=921x924&w=921&h=924,9
100004,d7c3fed8-600c-4ec0-8261-909199741831,"Chicken - Breast, 5 - 7 Oz",27.505,60499,Debitis consectetur voluptas quibusdam sapiente ex laudantium.,L,Weimann-Grady,100116,https://placeimg.com/372/273/any,10
100005,be4c0300-251e-4f6c-bf2c-a18f02435c29,Puree - Blackcurrant,2.425,V454,Ratione rem quas sed beatae mollitia dolorum.,S,Hyatt-Jacobson,100068,https://placeimg.com/635/937/any,24
100006,8e17edc7-3021-4c22-a449-2cc3cbabdb45,"Sauce - Apple, Unsweetened",59.489,5299,Corporis aliquam doloribus enim.,L,Strosin Inc,100063,https://placekitten.com/409/339,2
100007,e38615c5-aa0f-4a29-85e8-075d9316c5a6,Cabbage - Red,8.989,64621,Officiis vero reprehenderit commodi esse repellendus possimus.,S,"Lesch, Hoeger and Senger",100191,https://www.lorempixel.com/459/814,13
100008,9a5468bb-8041-4b8a-95e3-87a4d5141728,Green Scrubbie Pad H.duty,75.466,64690,Voluptatem corporis quibusdam corporis minima.,S,"Nienow, Carroll and Stroman",100118,https://placekitten.com/226/744,42
100009,48aa5add-702b-4259-b749-fd9b5063bbfd,Iced Tea Concentrate,46.221,96979,Consequuntur voluptatibus beatae sunt.,M,,100189,https://dummyimage.com/251x237,34
100010,3bb8e144-65a6-4c88-b24c-97d887420b7d,Bread Fig And Almond,29.995,43390,Sint inventore cum dignissimos doloribus.,L,Schroeder-Reichel,100091,https://www.lorempixel.com/258/574,29
100011,133cf42b-68a2-4005-8add-6c71b02ad144,"Rum - Spiced, Captain Morgan",65.97,5853,Nam iure temporibus eligendi.,M,Jacobson Group,100003,https://placekitten.com/905/383,3
100012,c29b4d97-7051-420b-aebe-ad8ef685331d,Wine - Montecillo Rioja Crianza,55.627,28803,Debitis sint voluptatem consequuntur voluptates cum libero.,M,,100159,https://placeholdit.imgix.net/~text?txtsize=55&txt=19x364&w=19&h=364,39
100013,9c8b4d51-c9de-4407-8d69-2d1342557f3f,Sprouts - Brussel,41.268,85310,Sit natus at aspernatur molestiae.,S,Boehm LLC,100027,https://www.lorempixel.com/218/442,33
100014,8a5f1acc-75df-4003-91d3-7bc1ebb4712e,"Nut - Pecan, Halves",20.775,35981,Similique iusto deserunt voluptas sequi.,L,Zulauf and Sons,100120,https://placeimg.com/649/988/any,50
100015,2d276e84-bd32-4d06-a214-753cc4397a13,Pecan Raisin - Tarts,91.722,80629,Libero perspiciatis quam dolorum fugit eligendi voluptates.,M,Will-Franecki,100025,https://dummyimage.com/693x1006,29
